,Trace_Number,Experimenter,Cell_Type,Date_Time,Resting_Potential_mV,Spike_count_5ms,AP_thresh_pA_5ms,AP_max_mV_5ms,Spike_delay_start_I_5ms,Spike_count_2ms,AP_thresh_pA_2ms,AP_max_mV_2ms,Spike_delay_start_I_2ms,Spike_count_1ms,AP_thresh_pA_1ms,AP_max_mV_1ms,Spike_delay_start_I_1ms
0,2019_03_16_0000,Rig 1,Cheriff,2019-03-16 13:21:29.272,-65.32479095458984,1,233.4757080078125,37.750244140625,3.8,1,271.9278564453125,48.76708984375,2.25,1,361.6495361328125,44.769287109375,1.45
1,2019_03_16_0000,Rig 1,Cheriff,2019-03-16 13:21:29.272000,-65.32479095458984,1,233.4757080078125,37.750244140625,3.8,1,271.9278564453125,48.76708984375,2.25,1,361.6495361328125,44.769287109375,1.45
