,trace_number,date_time,experimenter,protocol,cell_type,stim_type,V_baseline,LED_wavelenght,LED_time_ms,LED_power_mWmm,response_type_LED,spike_per_LED_stim,spike_freq_LED,subthresh_per_LED_stim,max_V_deflection_level_mV,total_V_deflection_from_baseline_mV,time_to_peak_v_deflection_ms,voltage_points_plot,LED_points_plot,I_inj_duration_ms,I_inj_max_value_pA,I_inj_response_type,spike_per_I_inj,I_pulse_spike_freq,I_inj_voltage_max_resp_mV,I_inj_V_deflection_total_from_base_mV,V_resp_max_delay_1st_resp_ms,V_data_points
0,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,7.44,sub_thresh_event,0.0,,1.0,-42.663578033447266,17.354530334472656,7.05,[-59.9579 -59.967  -59.964  ... -59.9426 -59.9243 -59.9243],[-0.0092 -0.0104 -0.0098 ... -0.0101 -0.0095 -0.0104],,,,,,,,,
1,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,12.78,sub_thresh_event,0.0,,1.0,-38.742069244384766,21.276039123535156,7.25,[-60.1318 -60.141  -60.141  ... -59.8785 -59.8877 -59.8969],[-0.0101 -0.0101 -0.0104 ... -0.0098 -0.0104 -0.0101],,,,,,,,,
2,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,18.56,sub_thresh_event,0.0,,1.0,-37.878421783447266,22.139686584472656,6.6,[-60.0372 -60.0403 -60.0494 ... -59.8572 -59.8389 -59.8541],[-0.0098 -0.0101 -0.0098 ... -0.0095 -0.0104 -0.0098],,,,,,,,,
3,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,21.89,sub_thresh_event,0.0,,1.0,-31.372072219848633,28.64603614807129,3.75,[-59.967  -59.967  -59.9793 ... -59.8633 -59.8511 -59.8633],[-0.0098 -0.0095 -0.0101 ... -0.0101 -0.0098 -0.0104],,,,,,,,,
4,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,25.56,sub_thresh_event,0.0,,1.0,-38.909915924072266,21.108192443847656,6.7,[-59.8541 -59.8663 -59.8938 ... -59.7839 -59.79   -59.7778],[-0.0101 -0.0101 -0.0089 ... -0.0095 -0.0101 -0.0098],,,,,,,,,
5,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,28.89,sub_thresh_event,0.0,,1.0,-40.008548736572266,20.009559631347656,6.7,[-59.9091 -59.9091 -59.9487 ... -59.7504 -59.7534 -59.7534],[-0.0092 -0.0101 -0.0098 ... -0.0098 -0.0104 -0.0104],,,,,,,,,
6,18d130007_5,2018-12-12 15:26:38.133,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01811,630,5.0,32.0,sub_thresh_event,0.0,,1.0,-40.576175689697266,19.441932678222656,7.2,[-59.7076 -59.6741 -59.7076 ... -59.7015 -59.6893 -59.7137],[-0.0101 -0.0095 -0.0104 ... -0.0107 -0.0098 -0.0101],,,,,,,,,
